name,all_names,sources,n_raw_points,lon,lat,label
Sarjapur road,Sarjapur road,flood_prone_locations,1,77.4993792626398,13.006586088077396,1
NGV to HSR Layout,NGV to HSR Layout,flood_prone_locations,1,77.647667755358,12.9067696947654,1
Kallena Agrahara in Arekere,Kallena Agrahara in Arekere,flood_prone_locations,1,77.5935020858486,12.870970177931204,1
RR Layout in Arekere & Hulimavu junction,RR Layout in Arekere & Hulimavu junction,flood_prone_locations,1,77.59658071072721,12.8842403779908,1
"Gurudarshan Layout,Near Doddabommasandra","Gurudarshan Layout,Near Doddabommasandra",lowlying_locations,1,77.5593241390377,13.071537127142497,1
Devi Nagara,Devi Nagara,lowlying_locations,1,77.5730246337936,13.052072903657496,1
JRD Tata Nagar,JRD Tata Nagar,lowlying_locations,1,77.573363637155,13.055279078826098,1
"Bhadrappa Layout, Nagashettihalli","Bhadrappa Layout, Nagashettihalli",lowlying_locations,1,77.5739608091609,13.0486685553505,1
Someshwara Nagar,Someshwara Nagar,lowlying_locations,1,77.5792967997007,13.0923268027641,1
EWS working colony 3rd stage,EWS working colony 3rd stage,lowlying_locations,1,77.5824405738244,13.0935430976927,1
"Attur, Near Dairy Circle","Attur, Near Dairy Circle",lowlying_locations,1,77.5689946485051,13.107284706071,1
"Balaji Layout, Near Tata Nagar","Balaji Layout, Near Tata Nagar",lowlying_locations,1,77.576471832231,13.05400991038,1
"Shankrappa Layout,MAruthi nagar","Shankrappa Layout,MAruthi nagar",lowlying_locations,1,77.6051141303453,13.103662125070402,1
Kempapura,Kempapura,lowlying_locations,1,77.6048096524019,13.048485358670797,1
Mariyanna Palya,Mariyanna Palya,lowlying_locations,1,77.6153719042868,13.0513188409369,1
"Telecom layout,Ashwathnagar","Telecom layout,Ashwathnagar",lowlying_locations,1,77.6346562236285,13.0558438602303,1
Sanguruvanahalli,Sanguruvanahalli,lowlying_locations,1,77.5408666666729,12.990866666238299,1
"8TH CROSS 6TH BLOCK SANKARAPPA GARDEN ,RAJAJINAGAR","8TH CROSS 6TH BLOCK SANKARAPPA GARDEN ,RAJAJINAGAR",lowlying_locations,1,77.5525326297742,12.981399152190797,1
BHAKSHI GARDEN,BHAKSHI GARDEN,lowlying_locations,1,77.566054909962,12.9684298800879,1
SANJEEVAPPA GARDEN,SANJEEVAPPA GARDEN,lowlying_locations,1,77.5588053181909,13.0282233491054,1
"NAGANNA NAGAR,NEAR BINNIY MILL ROAD","NAGANNA NAGAR,NEAR BINNIY MILL ROAD",lowlying_locations,1,77.5687506218599,12.9670968958218,1
KANTEERAVA NAGARA,KANTEERAVA NAGARA,lowlying_locations,1,77.5415463996097,13.019604811579098,1
KAMALANAGAR,KAMALANAGAR,lowlying_locations,1,77.5578611429665,13.0226867408992,1
Gubbanna Layout,12th  cross gubbanalayout industrial area; Gubbanna Layout,flood_prone_locations; lowlying_locations,2,77.55559593386377,12.978956693454876,1
"14TH CROSS P&T COLONY,CHOLARPALYA","14TH CROSS P&T COLONY,CHOLARPALYA",lowlying_locations,1,77.5477410304143,12.991323039665202,1
"1ST MAIN 8TH CROSS N.R.GARDEN,CHOLARPALYA","1ST MAIN 8TH CROSS N.R.GARDEN,CHOLARPALYA",lowlying_locations,1,77.5435531792751,12.992941072939896,1
MUDALPALYA,MUDALPALYA,lowlying_locations,1,77.5313868890026,13.014326605878999,1
"METRO LAYOUT-WARD NO 131,NEAR NAYANDHALLI","METRO LAYOUT-WARD NO 131,NEAR NAYANDHALLI",lowlying_locations,1,77.530223812323,12.9654374195325,1
bismillanagar,bismillanagar,lowlying_locations,1,77.6031109926665,12.926952083151098,1
rudrappa garden,rudrappa garden,lowlying_locations,1,77.5475717608872,12.9563239937434,1
samrudhinagar,samrudhinagar,lowlying_locations,1,77.5468931526243,12.952624896804599,1
silkboardjunction,silkboardjunction,lowlying_locations,1,77.5598718344172,12.896674199063199,1
SARVABHOUMA NAGAR-WARD NO 131 NAYANDHALLI,SARVABHOUMA NAGAR-WARD NO 131 NAYANDHALLI,lowlying_locations,2,77.5263786003369,12.950778691414902,1
SOMESHWARA COLONY NEAR SILK BOARD JUNCTION,SOMESHWARA COLONY NEAR SILK BOARD JUNCTION,lowlying_locations,1,77.6159962568356,12.915518246791299,1
"MARUTHI NAGAR, SANKRAPPA LAYOUT","MARUTHI NAGAR, SANKRAPPA LAYOUT",lowlying_locations,1,77.628961332382,12.9178430901315,1
Ghali Anjaneya temple road,"Ghali Anjaneya temple road; VITTALA NAGAR , NEAR KEMPEGOWDANAGAR",flood_prone_locations; lowlying_locations,2,77.54178722372895,12.95291756750661,1
"MARUTHI NAGARA ,NEAR BAPUJI NAGARA","MARUTHI NAGARA ,NEAR BAPUJI NAGARA",lowlying_locations,1,77.538395591297,12.955496811909898,1
"RANGANATHA LAYOUT,BHEL CIRCLE","RANGANATHA LAYOUT,BHEL CIRCLE",lowlying_locations,1,77.5353843832805,12.9475113405221,1
Wilson Garden Area up to Bannerghatta Road,"PWD QUARTERS NEAR WISLSON GARDEN; VENKATAREDDY NAGAR,SIDDAPURA; Wilson Garden Area up to Bannerghatta Road",flood_prone_locations; lowlying_locations,3,77.59721665139729,12.9484600876013,1
ASHWINI LAYOUT,ASHWINI LAYOUT,lowlying_locations,1,77.6291898267498,12.940538998435597,1
EJIPURA,EJIPURA,lowlying_locations,1,77.6272964099633,12.943109253414598,1
LAKSHMAN RAO NAGARA,LAKSHMAN RAO NAGARA,lowlying_locations,1,77.6146833451546,12.949079257933597,1
"Kengunta,Near Mallathalli","Kengunta,Near Mallathalli",lowlying_locations,1,77.499259070136,12.959253803511398,1
Sri Hari layout,Sri Hari layout,lowlying_locations,1,77.49417122442851,12.957437999027098,1
Near Vidyanikethan School,Near Vidyanikethan School,lowlying_locations,1,77.4886975317529,12.9560321588592,1
"Vinayaka Layout,Near Nagarabhavi","Vinayaka Layout,Near Nagarabhavi",lowlying_locations,1,77.5148894417433,12.964787834978898,1
Bandemata-Near Kengeri,Bandemata-Near Kengeri,lowlying_locations,1,77.4885216619697,12.913138256642497,1
"Janapriya Apartments,Near Rajarajeshwari Temple","Janapriya Apartments,Near Rajarajeshwari Temple",lowlying_locations,1,77.5089051560258,12.927632845385299,1
Kenchenahalli,Kenchenahalli,lowlying_locations,1,77.5094453240125,12.930472335658099,1
"Shivanna Layout,Near Halagevaddarahalli","Shivanna Layout,Near Halagevaddarahalli",lowlying_locations,1,77.51902010659971,12.920464360105699,1
Brindavananagar below Matthikere Tank Market,BRINDAVAN NAGAR; Brindavananagar below Matthikere Tank Market,flood_prone_locations; lowlying_locations,2,77.55486447809245,13.034717103885091,1
CHICKKABIDRIKAL,CHICKKABIDRIKAL,lowlying_locations,1,77.4905174317657,13.044565635845599,1
"ANJANA NAGARA ,NEAR ANJANEYA TEMPLE (WARD NO 72)","ANJANA NAGARA ,NEAR ANJANEYA TEMPLE (WARD NO 72)",lowlying_locations,1,77.4819589559286,12.988674025260503,1
"BYRAVESHWARA NAGARA , HAGGANAHALLI","BYRAVESHWARA NAGARA , HAGGANAHALLI",lowlying_locations,1,77.5042014204633,12.9893216008603,1
"CHOWDESHWARINAGAR,RAJIV GANDHI CIRCLE ,LAGGERE","CHOWDESHWARINAGAR,RAJIV GANDHI CIRCLE ,LAGGERE",lowlying_locations,1,77.5269523740393,13.009710693231801,1
KALIKA NAGARA MAIN ROAD (WARD NO 41),KALIKA NAGARA MAIN ROAD (WARD NO 41),lowlying_locations,1,77.4919584197319,13.009936436911499,1
KOTTIGEPALYA,KOTTIGEPALYA,lowlying_locations,1,77.5120418872617,12.985970323091896,1
RUKMINI NAGARA NEAR MAGADI ROAD (WARD NO 73),RUKMINI NAGARA NEAR MAGADI ROAD (WARD NO 73),lowlying_locations,1,77.4938813384294,13.041586339077696,1
SHIVANANDANAGARA,SHIVANANDANAGARA,lowlying_locations,1,77.4951423539782,13.006781294381097,1
KALLAPA LAYOUT NEAR BASAVANAGARA,KALLAPA LAYOUT NEAR BASAVANAGARA,lowlying_locations,1,77.68690014911,12.967840139801098,1
TALA KAVERI LAYOUT NEAR HAL AIRPORT,TALA KAVERI LAYOUT NEAR HAL AIRPORT,lowlying_locations,1,77.6862077155083,12.9604936418399,1
SJR DENTAL COLLEGE MAIN ROAD,SJR DENTAL COLLEGE MAIN ROAD,lowlying_locations,1,77.7030290587202,12.948995700582001,1
GANDHIPURAM NEAR WHITE FIELD,GANDHIPURAM NEAR WHITE FIELD,lowlying_locations,1,77.7559353478791,12.971315568983698,1
UDAYANAGARA NEAR A NARAYANPURA,UDAYANAGARA NEAR A NARAYANPURA,lowlying_locations,1,77.6755986418536,12.990081478343598,1
PAI LAYOUT,PAI LAYOUT,lowlying_locations,1,77.6688288350888,12.9914150366501,1
CHINAPPA LAYOUT,CHINAPPA LAYOUT,lowlying_locations,1,77.6855870790913,12.9853658544149,1
GARUDACHARPLAYA BASAVANAGARA,GARUDACHARPLAYA BASAVANAGARA,lowlying_locations,1,77.7194865485595,12.986617768005798,1
PASTTANDUR AGRAHARA NEAR ITPL,PASTTANDUR AGRAHARA NEAR ITPL,lowlying_locations,1,77.7350766808123,12.9749466444273,1
SAI BABA ASHRAM KADUGODI,SAI BABA ASHRAM KADUGODI,lowlying_locations,1,77.7541586165213,13.001553894267799,1
PATTALAMMA LAYOUT NEAR KADUGODI,PATTALAMMA LAYOUT NEAR KADUGODI,lowlying_locations,1,77.7590733023577,12.9988285462643,1
SIDDHARTHA LAYOUT KADUGODI,SIDDHARTHA LAYOUT KADUGODI,lowlying_locations,1,77.76319191791872,12.997006631756701,1
TRIVENI NAGAR NEAR KR PURAM,TRIVENI NAGAR NEAR KR PURAM,lowlying_locations,1,77.71990221424092,13.023151384561,1
"KRISHNANAGARA , NEAR CHIKKADEVSANDRA","KRISHNANAGARA , NEAR CHIKKADEVSANDRA",lowlying_locations,1,77.7065480462501,13.005344222990198,1
VINAYAKA LAYOUT NEAR BASAVANAPURA MAIN ROAD,VINAYAKA LAYOUT NEAR BASAVANAPURA MAIN ROAD,lowlying_locations,1,77.7066730094247,13.0142993398719,1
HOYSALANAGARA KR PURA,HOYSALANAGARA KR PURA,lowlying_locations,1,77.66598313464542,13.017243423793799,1
"Bhovi Colony, near Sane Guruvanahalli Tank","Bhovi Colony, near Sane Guruvanahalli Tank; RR LAYOUT  NEAR VIJNANAPURA",flood_prone_locations; lowlying_locations,2,77.676007984065,13.011799264052463,1
DR AMBEDKAR NAGAR NEAR VIJNANAPURA,DR AMBEDKAR NAGAR NEAR VIJNANAPURA,lowlying_locations,1,77.6866487764669,13.015196415272298,1
"ABBAREDDY LAYOUT ,VIJNANA NAGARA","ABBAREDDY LAYOUT ,VIJNANA NAGARA",lowlying_locations,1,77.6808290469289,12.980352626814499,1
"Vaddara palya, Near Hennur Bande","Vaddara palya, Near Hennur Bande",lowlying_locations,1,77.6443741089786,13.040109608307999,1
BHUVANESHWARI NAGARA WARD NO 15,BHUVANESHWARI NAGARA WARD NO 15,lowlying_locations,1,77.5079819461216,13.0429792423788,1
BAGALKUNTE( L NARSIMHAYA LAYOUT),BAGALKUNTE( L NARSIMHAYA LAYOUT),lowlying_locations,1,77.5030166638335,13.0642508306955,1
KEMPEGOWDANAGAR,KEMPEGOWDANAGAR,lowlying_locations,1,77.5106455509689,13.045111735545296,1
NELEGADARANAHALLI,NELEGADARANAHALLI,lowlying_locations,1,77.50214228024491,13.033631528993396,1
SHIVAPURA KERE NEAR NTTF,SHIVAPURA KERE NEAR NTTF,lowlying_locations,1,77.5058579547525,13.026011158572098,1
SHAMPURA SLUM,SHAMPURA SLUM,lowlying_locations,1,77.6134973249953,13.0228208475321,1
BASAVANNA NAGARA NEAR KADUGODANAHALLI,BASAVANNA NAGARA NEAR KADUGODANAHALLI,lowlying_locations,1,77.61973119462901,13.0197394058802,1
"THAMMANA LAYOUT NEAR LINGARAJAPURA,","THAMMANA LAYOUT NEAR LINGARAJAPURA,",lowlying_locations,1,77.6287575718124,13.009947229916099,1
MUNIREDDY PALYA,MUNIREDDY PALYA,lowlying_locations,1,77.6010257257137,13.007064902517598,1
"Miller Tank,  Chinnappa Garden","CHINAPPA GARDEN; Miller Tank,  Chinnappa Garden",flood_prone_locations; lowlying_locations,2,77.60278593742683,13.002586572513453,1
AMBEDKAR NAGAR NEAR BYAPPANAHALLI,AMBEDKAR NAGAR NEAR BYAPPANAHALLI,lowlying_locations,1,77.6405022618689,12.988098619485399,1
"BANDAPPA COLONY , NEAR NEW BYAPPANAHALLI","BANDAPPA COLONY , NEAR NEW BYAPPANAHALLI",lowlying_locations,1,77.6406788155904,12.9843178984092,1
CAMBRIDGE LAYOUT,CAMBRIDGE LAYOUT,lowlying_locations,1,77.6266700833542,12.973290375818298,1
BHARATHI NAGARA,BHARATHI NAGARA,lowlying_locations,1,77.6114142619749,12.987921345088099,1
"RAJIV GANDHI COLONY ,NEAR QUEENS ROAD","RAJIV GANDHI COLONY ,NEAR QUEENS ROAD",lowlying_locations,1,77.6012056646917,12.989231590817703,1
MURUGESHPALYA,MURUGESHPALYA,lowlying_locations,1,77.6559917414575,12.9561352291091,1
SRINIVAGILU TANK BED LAYOUT,SRINIVAGILU TANK BED LAYOUT,lowlying_locations,1,77.63672590623,12.9362383124114,1
SHANTHI NAGARA,SHANTHI NAGARA,lowlying_locations,1,77.5995507450686,12.956486085778302,1
SAMPANGI RAMA NAGARA,SAMPANGI RAMA NAGARA,lowlying_locations,1,77.5922263953977,12.972938678416902,1
SEETHAPPA LAYOUT NEAR RABINDRANATH TAGORE LAYOUT,SEETHAPPA LAYOUT NEAR RABINDRANATH TAGORE LAYOUT,lowlying_locations,1,77.6037671559015,13.0338719413767,1
BAMBOO BAZAR,BAMBOO BAZAR,lowlying_locations,1,77.6038238812386,12.9926509102014,1
munireddypalya anekappa block,munireddypalya anekappa block,lowlying_locations,1,77.5944385482952,13.0131255526489,1
SHANKAR NAGAR,SHANKAR NAGAR,lowlying_locations,1,77.5711870842795,13.0311184601201,1
"Govindapura,Nesar Nagavara","Govindapura,Nesar Nagavara",lowlying_locations,1,77.6150247006031,13.033683630564699,1
ILLIYAS NAGAR KUMARSWAMY LAYOUT,ILLIYAS NAGAR KUMARSWAMY LAYOUT,lowlying_locations,1,77.5697855769244,12.905829613173696,1
MUNISUBBAREDDY LAYOUT HONGASANDRA,MUNISUBBAREDDY LAYOUT HONGASANDRA,lowlying_locations,1,77.6284697894838,12.898933687336601,1
AMBEDKAR COLONY NEAR HONGASANDRA,AMBEDKAR COLONY NEAR HONGASANDRA,lowlying_locations,1,77.6281468991609,12.892686607446999,1
MICO LAYOUT,MICO LAYOUT,lowlying_locations,1,77.6269561383418,12.887502662660998,1
ROYQAL MERIDIAN LAYOUT,ROYQAL MERIDIAN LAYOUT,lowlying_locations,1,77.6243630245224,12.887586246481098,1
VISHWA PRIYA NAGARA NEAR BEGUR MAIN RAOD,VISHWA PRIYA NAGARA NEAR BEGUR MAIN RAOD,lowlying_locations,1,77.6290511776546,12.8820505434111,1
BEGUR KERE AREA,BEGUR KERE AREA,lowlying_locations,1,77.624941297316,12.8764046160013,1
SUBASH NAGARA,SUBASH NAGARA,lowlying_locations,1,77.6395408230583,12.8698824764384,1
GARVE BHAVI PALYA,GARVE BHAVI PALYA,lowlying_locations,1,77.637980096622,12.894440715310202,1
PARAPPAN AGRAHARA,PARAPPAN AGRAHARA,lowlying_locations,1,77.6611585673198,12.880294295714,1
G K LAYOUT,G K LAYOUT,lowlying_locations,1,77.6603268039859,12.8736972746511,1
KUDLU VILLAGE,KUDLU VILLAGE,lowlying_locations,1,77.6575038153887,12.8894267732205,1
B.T.R GARDEN LAYOUT,B.T.R GARDEN LAYOUT,lowlying_locations,1,77.6423639181386,12.888511802898797,1
RAGHAVENDRA SLUM NEAR LAKSHMI LAYOUT,RAGHAVENDRA SLUM NEAR LAKSHMI LAYOUT,lowlying_locations,1,77.631708269581,12.890725516129999,1
MUNIREDDY LAYOUT NEAR MANGAMMNAPALYA,MUNIREDDY LAYOUT NEAR MANGAMMNAPALYA,lowlying_locations,1,77.6371421706667,12.905056828351002,1
VYSHYA BANK COLONY NEAR AREKERE,VYSHYA BANK COLONY NEAR AREKERE,lowlying_locations,1,77.6042850230189,12.883349861498898,1
KRISHNA LAYOUT NEAR HULIMAVU KERE,KRISHNA LAYOUT NEAR HULIMAVU KERE,lowlying_locations,1,77.605805171246,12.877821657311296,1
BDA LAYOUT,BDA LAYOUT,lowlying_locations,1,77.5914921841584,12.857844268061402,1
PUTTENHALLI,PUTTENHALLI,lowlying_locations,1,77.5849201458667,12.9011915440869,1
"ASHTA LAKSHMI LAYOUT ,PUTTENHALLI","ASHTA LAKSHMI LAYOUT ,PUTTENHALLI",lowlying_locations,1,77.5866124577705,12.901838949214998,1
GANAPATHPURA NEAR CHUNCHANGHATTA MAIN RAOD,GANAPATHPURA NEAR CHUNCHANGHATTA MAIN RAOD,lowlying_locations,1,77.5703904084562,12.886308353585298,1
HARI NAGAR NEAR KONANKUNTTE,HARI NAGAR NEAR KONANKUNTTE,lowlying_locations,1,77.57520110064532,12.8832966341697,1
"VITTAL NAGAR NEAR ISRO LAYOUT,UTTARAHALLI","VITTAL NAGAR NEAR ISRO LAYOUT,UTTARAHALLI",lowlying_locations,1,77.5538648525391,12.902625234870598,1
sanjaynagar,sanjaynagar,lowlying_locations,1,77.5450093250347,12.9178341662909,1
Yelechenahalli,Yelechenahalli,lowlying_locations,1,77.5712721864802,12.905650841720702,1
Kanakanagar-Near kumaraswamylayout,Kanakanagar-Near kumaraswamylayout,lowlying_locations,1,77.5717608637709,12.902480333207798,1
Dorakere,Dorakere,lowlying_locations,1,77.5457117499136,12.903357665526197,1
